STEP: 1
inst,def,use,succ,live_out,live_in
15,b,t3,16,"a,i,j,t0,t1","a,i,j,t3,t0,t1"
16,t4,a,17,"a,i,t4,j,t0,t1","a,i,j,t0,t1"
17,c,t4,18,"a,c,i,j,t0,t1","a,i,t4,j,t0,t1"
18,t5,"a,c",19,"i,j,t5,t0,t1","a,c,i,j,t0,t1"
19,a,t5,20,"a,i,j,t0,t1","i,j,t5,t0,t1"
20,t6,a,21,"a,t6,i,j,t0,t1","a,i,j,t0,t1"
21,b,t6,22,"a,b,i,j,t0,t1","a,t6,i,j,t0,t1"
22,t7,"a,b",23,"a,i,t7,j,t0,t1","a,b,i,j,t0,t1"
23,c,t7,24,"a,c,i,j,t0,t1","a,i,t7,j,t0,t1"
24,,i,"26,30","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
26,t8,a,27,"a,t8,i,j,t0,t1","a,i,j,t0,t1"
27,c,t8,33,"a,c,i,j,t0,t1","a,t8,i,j,t0,t1"
30,t9,"a,c",31,"a,t9,i,j,t0,t1","a,c,i,j,t0,t1"
31,c,t9,33,"a,c,i,j,t0,t1","a,t9,i,j,t0,t1"
33,,j,"8,35","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
35,,i,"33,37","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
37,t10,j,38,"a,c,t10,i,t0,t1","a,c,i,j,t0,t1"
38,j,t10,33,"a,c,i,j,t0,t1","a,c,t10,i,t0,t1"
44,t11,c,45,t11,c
45,a,t11,46,a,t11
46,t12,a,47,"a,t12",a
47,c,t12,48,"a,c","a,t12"
48,,c,"54,50","a,c","a,c"
50,t13,"a,c",51,t13,"a,c"
51,a,t13,,,t13
54,t14,"a,c",55,t14,"a,c"
55,c,t14,,,t14
STEP: 16
inst,def,use,succ,live_out,live_in
1,a,,2,a,
2,b,,3,a,a
3,c,,4,"a,c",a
4,i,,5,"a,c","a,c"
5,t1,,6,"a,c,t1","a,c"
6,t0,,8,"a,c,t0,t1","a,c,t1"
8,,"t0,t1","10,44","a,c,t0","a,c,t0,t1"
10,i,t0,11,"i,a,t0","a,t0"
11,t0,t0,12,"i,a","i,a,t0"
12,t2,a,13,"a,i,j,t2,t0,t1","a,i,j,t0,t1"
13,b,t2,14,"a,b,i,j,t0,t1","a,i,j,t2,t0,t1"
14,t3,"a,b",15,"a,i,j,t3,t0,t1","a,b,i,j,t0,t1"
15,b,t3,16,"a,i,j,t0,t1","a,i,j,t3,t0,t1"
16,t4,a,17,"a,i,t4,j,t0,t1","a,i,j,t0,t1"
17,c,t4,18,"a,c,i,j,t0,t1","a,i,t4,j,t0,t1"
18,t5,"a,c",19,"i,j,t5,t0,t1","a,c,i,j,t0,t1"
19,a,t5,20,"a,i,j,t0,t1","i,j,t5,t0,t1"
20,t6,a,21,"a,t6,i,j,t0,t1","a,i,j,t0,t1"
21,b,t6,22,"a,b,i,j,t0,t1","a,t6,i,j,t0,t1"
22,t7,"a,b",23,"a,i,t7,j,t0,t1","a,b,i,j,t0,t1"
23,c,t7,24,"a,c,i,j,t0,t1","a,i,t7,j,t0,t1"
24,,i,"26,30","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
26,t8,a,27,"a,t8,i,j,t0,t1","a,i,j,t0,t1"
27,c,t8,33,"a,c,i,j,t0,t1","a,t8,i,j,t0,t1"
30,t9,"a,c",31,"a,t9,i,j,t0,t1","a,c,i,j,t0,t1"
31,c,t9,33,"a,c,i,j,t0,t1","a,t9,i,j,t0,t1"
33,,j,"8,35","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
35,,i,"33,37","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
37,t10,j,38,"a,c,t10,i,t0,t1","a,c,i,j,t0,t1"
38,j,t10,33,"a,c,i,j,t0,t1","a,c,t10,i,t0,t1"
44,t11,c,45,t11,c
45,a,t11,46,a,t11
46,t12,a,47,"a,t12",a
47,c,t12,48,"a,c","a,t12"
48,,c,"54,50","a,c","a,c"
50,t13,"a,c",51,t13,"a,c"
51,a,t13,,,t13
54,t14,"a,c",55,t14,"a,c"
55,c,t14,,,t14
STEP: 17
inst,def,use,succ,live_out,live_in
1,a,,2,a,
2,b,,3,a,a
3,c,,4,"a,c",a
4,i,,5,"a,c","a,c"
5,t1,,6,"a,c,t1","a,c"
6,t0,,8,"a,c,t0,t1","a,c,t1"
8,,"t0,t1","10,44","a,c,t0","a,c,t0,t1"
10,i,t0,11,"i,a,t0","a,t0"
11,t0,t0,12,"a,i,j,t0,t1","a,i,j,t0,t1"
12,t2,a,13,"a,i,j,t2,t0,t1","a,i,j,t0,t1"
13,b,t2,14,"a,b,i,j,t0,t1","a,i,j,t2,t0,t1"
14,t3,"a,b",15,"a,i,j,t3,t0,t1","a,b,i,j,t0,t1"
15,b,t3,16,"a,i,j,t0,t1","a,i,j,t3,t0,t1"
16,t4,a,17,"a,i,t4,j,t0,t1","a,i,j,t0,t1"
17,c,t4,18,"a,c,i,j,t0,t1","a,i,t4,j,t0,t1"
18,t5,"a,c",19,"i,j,t5,t0,t1","a,c,i,j,t0,t1"
19,a,t5,20,"a,i,j,t0,t1","i,j,t5,t0,t1"
20,t6,a,21,"a,t6,i,j,t0,t1","a,i,j,t0,t1"
21,b,t6,22,"a,b,i,j,t0,t1","a,t6,i,j,t0,t1"
22,t7,"a,b",23,"a,i,t7,j,t0,t1","a,b,i,j,t0,t1"
23,c,t7,24,"a,c,i,j,t0,t1","a,i,t7,j,t0,t1"
24,,i,"26,30","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
26,t8,a,27,"a,t8,i,j,t0,t1","a,i,j,t0,t1"
27,c,t8,33,"a,c,i,j,t0,t1","a,t8,i,j,t0,t1"
30,t9,"a,c",31,"a,t9,i,j,t0,t1","a,c,i,j,t0,t1"
31,c,t9,33,"a,c,i,j,t0,t1","a,t9,i,j,t0,t1"
33,,j,"8,35","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
35,,i,"33,37","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
37,t10,j,38,"a,c,t10,i,t0,t1","a,c,i,j,t0,t1"
38,j,t10,33,"a,c,i,j,t0,t1","a,c,t10,i,t0,t1"
44,t11,c,45,t11,c
45,a,t11,46,a,t11
46,t12,a,47,"a,t12",a
47,c,t12,48,"a,c","a,t12"
48,,c,"54,50","a,c","a,c"
50,t13,"a,c",51,t13,"a,c"
51,a,t13,,,t13
54,t14,"a,c",55,t14,"a,c"
55,c,t14,,,t14
STEP: 18
inst,def,use,succ,live_out,live_in
1,a,,2,a,
2,b,,3,a,a
3,c,,4,"a,c",a
4,i,,5,"a,c","a,c"
5,t1,,6,"a,c,t1","a,c"
6,t0,,8,"a,c,t0,t1","a,c,t1"
8,,"t0,t1","10,44","a,c,t0","a,c,t0,t1"
10,i,t0,11,"a,i,j,t0,t1","a,j,t0,t1"
11,t0,t0,12,"a,i,j,t0,t1","a,i,j,t0,t1"
12,t2,a,13,"a,i,j,t2,t0,t1","a,i,j,t0,t1"
13,b,t2,14,"a,b,i,j,t0,t1","a,i,j,t2,t0,t1"
14,t3,"a,b",15,"a,i,j,t3,t0,t1","a,b,i,j,t0,t1"
15,b,t3,16,"a,i,j,t0,t1","a,i,j,t3,t0,t1"
16,t4,a,17,"a,i,t4,j,t0,t1","a,i,j,t0,t1"
17,c,t4,18,"a,c,i,j,t0,t1","a,i,t4,j,t0,t1"
18,t5,"a,c",19,"i,j,t5,t0,t1","a,c,i,j,t0,t1"
19,a,t5,20,"a,i,j,t0,t1","i,j,t5,t0,t1"
20,t6,a,21,"a,t6,i,j,t0,t1","a,i,j,t0,t1"
21,b,t6,22,"a,b,i,j,t0,t1","a,t6,i,j,t0,t1"
22,t7,"a,b",23,"a,i,t7,j,t0,t1","a,b,i,j,t0,t1"
23,c,t7,24,"a,c,i,j,t0,t1","a,i,t7,j,t0,t1"
24,,i,"26,30","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
26,t8,a,27,"a,t8,i,j,t0,t1","a,i,j,t0,t1"
27,c,t8,33,"a,c,i,j,t0,t1","a,t8,i,j,t0,t1"
30,t9,"a,c",31,"a,t9,i,j,t0,t1","a,c,i,j,t0,t1"
31,c,t9,33,"a,c,i,j,t0,t1","a,t9,i,j,t0,t1"
33,,j,"8,35","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
35,,i,"33,37","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
37,t10,j,38,"a,c,t10,i,t0,t1","a,c,i,j,t0,t1"
38,j,t10,33,"a,c,i,j,t0,t1","a,c,t10,i,t0,t1"
44,t11,c,45,t11,c
45,a,t11,46,a,t11
46,t12,a,47,"a,t12",a
47,c,t12,48,"a,c","a,t12"
48,,c,"54,50","a,c","a,c"
50,t13,"a,c",51,t13,"a,c"
51,a,t13,,,t13
54,t14,"a,c",55,t14,"a,c"
55,c,t14,,,t14
STEP: 19
inst,def,use,succ,live_out,live_in
1,a,,2,a,
2,b,,3,a,a
3,c,,4,"a,c",a
4,i,,5,"a,c","a,c"
5,t1,,6,"a,c,t1","a,c"
6,t0,,8,"a,c,t0,t1","a,c,t1"
8,,"t0,t1","10,44","a,c,j,t0,t1","a,c,j,t0,t1"
10,i,t0,11,"a,i,j,t0,t1","a,j,t0,t1"
11,t0,t0,12,"a,i,j,t0,t1","a,i,j,t0,t1"
12,t2,a,13,"a,i,j,t2,t0,t1","a,i,j,t0,t1"
13,b,t2,14,"a,b,i,j,t0,t1","a,i,j,t2,t0,t1"
14,t3,"a,b",15,"a,i,j,t3,t0,t1","a,b,i,j,t0,t1"
15,b,t3,16,"a,i,j,t0,t1","a,i,j,t3,t0,t1"
16,t4,a,17,"a,i,t4,j,t0,t1","a,i,j,t0,t1"
17,c,t4,18,"a,c,i,j,t0,t1","a,i,t4,j,t0,t1"
18,t5,"a,c",19,"i,j,t5,t0,t1","a,c,i,j,t0,t1"
19,a,t5,20,"a,i,j,t0,t1","i,j,t5,t0,t1"
20,t6,a,21,"a,t6,i,j,t0,t1","a,i,j,t0,t1"
21,b,t6,22,"a,b,i,j,t0,t1","a,t6,i,j,t0,t1"
22,t7,"a,b",23,"a,i,t7,j,t0,t1","a,b,i,j,t0,t1"
23,c,t7,24,"a,c,i,j,t0,t1","a,i,t7,j,t0,t1"
24,,i,"26,30","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
26,t8,a,27,"a,t8,i,j,t0,t1","a,i,j,t0,t1"
27,c,t8,33,"a,c,i,j,t0,t1","a,t8,i,j,t0,t1"
30,t9,"a,c",31,"a,t9,i,j,t0,t1","a,c,i,j,t0,t1"
31,c,t9,33,"a,c,i,j,t0,t1","a,t9,i,j,t0,t1"
33,,j,"8,35","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
35,,i,"33,37","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
37,t10,j,38,"a,c,t10,i,t0,t1","a,c,i,j,t0,t1"
38,j,t10,33,"a,c,i,j,t0,t1","a,c,t10,i,t0,t1"
44,t11,c,45,t11,c
45,a,t11,46,a,t11
46,t12,a,47,"a,t12",a
47,c,t12,48,"a,c","a,t12"
48,,c,"54,50","a,c","a,c"
50,t13,"a,c",51,t13,"a,c"
51,a,t13,,,t13
54,t14,"a,c",55,t14,"a,c"
55,c,t14,,,t14
STEP: 20
inst,def,use,succ,live_out,live_in
1,a,,2,a,
2,b,,3,a,a
3,c,,4,"a,c",a
4,i,,5,"a,c","a,c"
5,t1,,6,"a,c,t1","a,c"
6,t0,,8,"a,c,j,t0,t1","a,c,j,t1"
8,,"t0,t1","10,44","a,c,j,t0,t1","a,c,j,t0,t1"
10,i,t0,11,"a,i,j,t0,t1","a,j,t0,t1"
11,t0,t0,12,"a,i,j,t0,t1","a,i,j,t0,t1"
12,t2,a,13,"a,i,j,t2,t0,t1","a,i,j,t0,t1"
13,b,t2,14,"a,b,i,j,t0,t1","a,i,j,t2,t0,t1"
14,t3,"a,b",15,"a,i,j,t3,t0,t1","a,b,i,j,t0,t1"
15,b,t3,16,"a,i,j,t0,t1","a,i,j,t3,t0,t1"
16,t4,a,17,"a,i,t4,j,t0,t1","a,i,j,t0,t1"
17,c,t4,18,"a,c,i,j,t0,t1","a,i,t4,j,t0,t1"
18,t5,"a,c",19,"i,j,t5,t0,t1","a,c,i,j,t0,t1"
19,a,t5,20,"a,i,j,t0,t1","i,j,t5,t0,t1"
20,t6,a,21,"a,t6,i,j,t0,t1","a,i,j,t0,t1"
21,b,t6,22,"a,b,i,j,t0,t1","a,t6,i,j,t0,t1"
22,t7,"a,b",23,"a,i,t7,j,t0,t1","a,b,i,j,t0,t1"
23,c,t7,24,"a,c,i,j,t0,t1","a,i,t7,j,t0,t1"
24,,i,"26,30","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
26,t8,a,27,"a,t8,i,j,t0,t1","a,i,j,t0,t1"
27,c,t8,33,"a,c,i,j,t0,t1","a,t8,i,j,t0,t1"
30,t9,"a,c",31,"a,t9,i,j,t0,t1","a,c,i,j,t0,t1"
31,c,t9,33,"a,c,i,j,t0,t1","a,t9,i,j,t0,t1"
33,,j,"8,35","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
35,,i,"33,37","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
37,t10,j,38,"a,c,t10,i,t0,t1","a,c,i,j,t0,t1"
38,j,t10,33,"a,c,i,j,t0,t1","a,c,t10,i,t0,t1"
44,t11,c,45,t11,c
45,a,t11,46,a,t11
46,t12,a,47,"a,t12",a
47,c,t12,48,"a,c","a,t12"
48,,c,"54,50","a,c","a,c"
50,t13,"a,c",51,t13,"a,c"
51,a,t13,,,t13
54,t14,"a,c",55,t14,"a,c"
55,c,t14,,,t14
STEP: 21
inst,def,use,succ,live_out,live_in
1,a,,2,a,
2,b,,3,a,a
3,c,,4,"a,c",a
4,i,,5,"a,c","a,c"
5,t1,,6,"a,c,j,t1","a,c,j"
6,t0,,8,"a,c,j,t0,t1","a,c,j,t1"
8,,"t0,t1","10,44","a,c,j,t0,t1","a,c,j,t0,t1"
10,i,t0,11,"a,i,j,t0,t1","a,j,t0,t1"
11,t0,t0,12,"a,i,j,t0,t1","a,i,j,t0,t1"
12,t2,a,13,"a,i,j,t2,t0,t1","a,i,j,t0,t1"
13,b,t2,14,"a,b,i,j,t0,t1","a,i,j,t2,t0,t1"
14,t3,"a,b",15,"a,i,j,t3,t0,t1","a,b,i,j,t0,t1"
15,b,t3,16,"a,i,j,t0,t1","a,i,j,t3,t0,t1"
16,t4,a,17,"a,i,t4,j,t0,t1","a,i,j,t0,t1"
17,c,t4,18,"a,c,i,j,t0,t1","a,i,t4,j,t0,t1"
18,t5,"a,c",19,"i,j,t5,t0,t1","a,c,i,j,t0,t1"
19,a,t5,20,"a,i,j,t0,t1","i,j,t5,t0,t1"
20,t6,a,21,"a,t6,i,j,t0,t1","a,i,j,t0,t1"
21,b,t6,22,"a,b,i,j,t0,t1","a,t6,i,j,t0,t1"
22,t7,"a,b",23,"a,i,t7,j,t0,t1","a,b,i,j,t0,t1"
23,c,t7,24,"a,c,i,j,t0,t1","a,i,t7,j,t0,t1"
24,,i,"26,30","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
26,t8,a,27,"a,t8,i,j,t0,t1","a,i,j,t0,t1"
27,c,t8,33,"a,c,i,j,t0,t1","a,t8,i,j,t0,t1"
30,t9,"a,c",31,"a,t9,i,j,t0,t1","a,c,i,j,t0,t1"
31,c,t9,33,"a,c,i,j,t0,t1","a,t9,i,j,t0,t1"
33,,j,"8,35","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
35,,i,"33,37","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
37,t10,j,38,"a,c,t10,i,t0,t1","a,c,i,j,t0,t1"
38,j,t10,33,"a,c,i,j,t0,t1","a,c,t10,i,t0,t1"
44,t11,c,45,t11,c
45,a,t11,46,a,t11
46,t12,a,47,"a,t12",a
47,c,t12,48,"a,c","a,t12"
48,,c,"54,50","a,c","a,c"
50,t13,"a,c",51,t13,"a,c"
51,a,t13,,,t13
54,t14,"a,c",55,t14,"a,c"
55,c,t14,,,t14
STEP: 22
inst,def,use,succ,live_out,live_in
1,a,,2,a,
2,b,,3,a,a
3,c,,4,"a,c",a
4,i,,5,"a,c,j","a,c,j"
5,t1,,6,"a,c,j,t1","a,c,j"
6,t0,,8,"a,c,j,t0,t1","a,c,j,t1"
8,,"t0,t1","10,44","a,c,j,t0,t1","a,c,j,t0,t1"
10,i,t0,11,"a,i,j,t0,t1","a,j,t0,t1"
11,t0,t0,12,"a,i,j,t0,t1","a,i,j,t0,t1"
12,t2,a,13,"a,i,j,t2,t0,t1","a,i,j,t0,t1"
13,b,t2,14,"a,b,i,j,t0,t1","a,i,j,t2,t0,t1"
14,t3,"a,b",15,"a,i,j,t3,t0,t1","a,b,i,j,t0,t1"
15,b,t3,16,"a,i,j,t0,t1","a,i,j,t3,t0,t1"
16,t4,a,17,"a,i,t4,j,t0,t1","a,i,j,t0,t1"
17,c,t4,18,"a,c,i,j,t0,t1","a,i,t4,j,t0,t1"
18,t5,"a,c",19,"i,j,t5,t0,t1","a,c,i,j,t0,t1"
19,a,t5,20,"a,i,j,t0,t1","i,j,t5,t0,t1"
20,t6,a,21,"a,t6,i,j,t0,t1","a,i,j,t0,t1"
21,b,t6,22,"a,b,i,j,t0,t1","a,t6,i,j,t0,t1"
22,t7,"a,b",23,"a,i,t7,j,t0,t1","a,b,i,j,t0,t1"
23,c,t7,24,"a,c,i,j,t0,t1","a,i,t7,j,t0,t1"
24,,i,"26,30","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
26,t8,a,27,"a,t8,i,j,t0,t1","a,i,j,t0,t1"
27,c,t8,33,"a,c,i,j,t0,t1","a,t8,i,j,t0,t1"
30,t9,"a,c",31,"a,t9,i,j,t0,t1","a,c,i,j,t0,t1"
31,c,t9,33,"a,c,i,j,t0,t1","a,t9,i,j,t0,t1"
33,,j,"8,35","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
35,,i,"33,37","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
37,t10,j,38,"a,c,t10,i,t0,t1","a,c,i,j,t0,t1"
38,j,t10,33,"a,c,i,j,t0,t1","a,c,t10,i,t0,t1"
44,t11,c,45,t11,c
45,a,t11,46,a,t11
46,t12,a,47,"a,t12",a
47,c,t12,48,"a,c","a,t12"
48,,c,"54,50","a,c","a,c"
50,t13,"a,c",51,t13,"a,c"
51,a,t13,,,t13
54,t14,"a,c",55,t14,"a,c"
55,c,t14,,,t14
STEP: 23
inst,def,use,succ,live_out,live_in
1,a,,2,a,
2,b,,3,a,a
3,c,,4,"a,c,j","a,j"
4,i,,5,"a,c,j","a,c,j"
5,t1,,6,"a,c,j,t1","a,c,j"
6,t0,,8,"a,c,j,t0,t1","a,c,j,t1"
8,,"t0,t1","10,44","a,c,j,t0,t1","a,c,j,t0,t1"
10,i,t0,11,"a,i,j,t0,t1","a,j,t0,t1"
11,t0,t0,12,"a,i,j,t0,t1","a,i,j,t0,t1"
12,t2,a,13,"a,i,j,t2,t0,t1","a,i,j,t0,t1"
13,b,t2,14,"a,b,i,j,t0,t1","a,i,j,t2,t0,t1"
14,t3,"a,b",15,"a,i,j,t3,t0,t1","a,b,i,j,t0,t1"
15,b,t3,16,"a,i,j,t0,t1","a,i,j,t3,t0,t1"
16,t4,a,17,"a,i,t4,j,t0,t1","a,i,j,t0,t1"
17,c,t4,18,"a,c,i,j,t0,t1","a,i,t4,j,t0,t1"
18,t5,"a,c",19,"i,j,t5,t0,t1","a,c,i,j,t0,t1"
19,a,t5,20,"a,i,j,t0,t1","i,j,t5,t0,t1"
20,t6,a,21,"a,t6,i,j,t0,t1","a,i,j,t0,t1"
21,b,t6,22,"a,b,i,j,t0,t1","a,t6,i,j,t0,t1"
22,t7,"a,b",23,"a,i,t7,j,t0,t1","a,b,i,j,t0,t1"
23,c,t7,24,"a,c,i,j,t0,t1","a,i,t7,j,t0,t1"
24,,i,"26,30","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
26,t8,a,27,"a,t8,i,j,t0,t1","a,i,j,t0,t1"
27,c,t8,33,"a,c,i,j,t0,t1","a,t8,i,j,t0,t1"
30,t9,"a,c",31,"a,t9,i,j,t0,t1","a,c,i,j,t0,t1"
31,c,t9,33,"a,c,i,j,t0,t1","a,t9,i,j,t0,t1"
33,,j,"8,35","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
35,,i,"33,37","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
37,t10,j,38,"a,c,t10,i,t0,t1","a,c,i,j,t0,t1"
38,j,t10,33,"a,c,i,j,t0,t1","a,c,t10,i,t0,t1"
44,t11,c,45,t11,c
45,a,t11,46,a,t11
46,t12,a,47,"a,t12",a
47,c,t12,48,"a,c","a,t12"
48,,c,"54,50","a,c","a,c"
50,t13,"a,c",51,t13,"a,c"
51,a,t13,,,t13
54,t14,"a,c",55,t14,"a,c"
55,c,t14,,,t14
STEP: 24
inst,def,use,succ,live_out,live_in
1,a,,2,a,
2,b,,3,"a,j","a,j"
3,c,,4,"a,c,j","a,j"
4,i,,5,"a,c,j","a,c,j"
5,t1,,6,"a,c,j,t1","a,c,j"
6,t0,,8,"a,c,j,t0,t1","a,c,j,t1"
8,,"t0,t1","10,44","a,c,j,t0,t1","a,c,j,t0,t1"
10,i,t0,11,"a,i,j,t0,t1","a,j,t0,t1"
11,t0,t0,12,"a,i,j,t0,t1","a,i,j,t0,t1"
12,t2,a,13,"a,i,j,t2,t0,t1","a,i,j,t0,t1"
13,b,t2,14,"a,b,i,j,t0,t1","a,i,j,t2,t0,t1"
14,t3,"a,b",15,"a,i,j,t3,t0,t1","a,b,i,j,t0,t1"
15,b,t3,16,"a,i,j,t0,t1","a,i,j,t3,t0,t1"
16,t4,a,17,"a,i,t4,j,t0,t1","a,i,j,t0,t1"
17,c,t4,18,"a,c,i,j,t0,t1","a,i,t4,j,t0,t1"
18,t5,"a,c",19,"i,j,t5,t0,t1","a,c,i,j,t0,t1"
19,a,t5,20,"a,i,j,t0,t1","i,j,t5,t0,t1"
20,t6,a,21,"a,t6,i,j,t0,t1","a,i,j,t0,t1"
21,b,t6,22,"a,b,i,j,t0,t1","a,t6,i,j,t0,t1"
22,t7,"a,b",23,"a,i,t7,j,t0,t1","a,b,i,j,t0,t1"
23,c,t7,24,"a,c,i,j,t0,t1","a,i,t7,j,t0,t1"
24,,i,"26,30","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
26,t8,a,27,"a,t8,i,j,t0,t1","a,i,j,t0,t1"
27,c,t8,33,"a,c,i,j,t0,t1","a,t8,i,j,t0,t1"
30,t9,"a,c",31,"a,t9,i,j,t0,t1","a,c,i,j,t0,t1"
31,c,t9,33,"a,c,i,j,t0,t1","a,t9,i,j,t0,t1"
33,,j,"8,35","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
35,,i,"33,37","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
37,t10,j,38,"a,c,t10,i,t0,t1","a,c,i,j,t0,t1"
38,j,t10,33,"a,c,i,j,t0,t1","a,c,t10,i,t0,t1"
44,t11,c,45,t11,c
45,a,t11,46,a,t11
46,t12,a,47,"a,t12",a
47,c,t12,48,"a,c","a,t12"
48,,c,"54,50","a,c","a,c"
50,t13,"a,c",51,t13,"a,c"
51,a,t13,,,t13
54,t14,"a,c",55,t14,"a,c"
55,c,t14,,,t14
STEP: 25
inst,def,use,succ,live_out,live_in
1,a,,2,"a,j",j
2,b,,3,"a,j","a,j"
3,c,,4,"a,c,j","a,j"
4,i,,5,"a,c,j","a,c,j"
5,t1,,6,"a,c,j,t1","a,c,j"
6,t0,,8,"a,c,j,t0,t1","a,c,j,t1"
8,,"t0,t1","10,44","a,c,j,t0,t1","a,c,j,t0,t1"
10,i,t0,11,"a,i,j,t0,t1","a,j,t0,t1"
11,t0,t0,12,"a,i,j,t0,t1","a,i,j,t0,t1"
12,t2,a,13,"a,i,j,t2,t0,t1","a,i,j,t0,t1"
13,b,t2,14,"a,b,i,j,t0,t1","a,i,j,t2,t0,t1"
14,t3,"a,b",15,"a,i,j,t3,t0,t1","a,b,i,j,t0,t1"
15,b,t3,16,"a,i,j,t0,t1","a,i,j,t3,t0,t1"
16,t4,a,17,"a,i,t4,j,t0,t1","a,i,j,t0,t1"
17,c,t4,18,"a,c,i,j,t0,t1","a,i,t4,j,t0,t1"
18,t5,"a,c",19,"i,j,t5,t0,t1","a,c,i,j,t0,t1"
19,a,t5,20,"a,i,j,t0,t1","i,j,t5,t0,t1"
20,t6,a,21,"a,t6,i,j,t0,t1","a,i,j,t0,t1"
21,b,t6,22,"a,b,i,j,t0,t1","a,t6,i,j,t0,t1"
22,t7,"a,b",23,"a,i,t7,j,t0,t1","a,b,i,j,t0,t1"
23,c,t7,24,"a,c,i,j,t0,t1","a,i,t7,j,t0,t1"
24,,i,"26,30","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
26,t8,a,27,"a,t8,i,j,t0,t1","a,i,j,t0,t1"
27,c,t8,33,"a,c,i,j,t0,t1","a,t8,i,j,t0,t1"
30,t9,"a,c",31,"a,t9,i,j,t0,t1","a,c,i,j,t0,t1"
31,c,t9,33,"a,c,i,j,t0,t1","a,t9,i,j,t0,t1"
33,,j,"8,35","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
35,,i,"33,37","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
37,t10,j,38,"a,c,t10,i,t0,t1","a,c,i,j,t0,t1"
38,j,t10,33,"a,c,i,j,t0,t1","a,c,t10,i,t0,t1"
44,t11,c,45,t11,c
45,a,t11,46,a,t11
46,t12,a,47,"a,t12",a
47,c,t12,48,"a,c","a,t12"
48,,c,"54,50","a,c","a,c"
50,t13,"a,c",51,t13,"a,c"
51,a,t13,,,t13
54,t14,"a,c",55,t14,"a,c"
55,c,t14,,,t14
STEP: 26
inst,def,use,succ,live_out,live_in
1,a,,2,"a,j",j
2,b,,3,"a,j","a,j"
3,c,,4,"a,c,j","a,j"
4,i,,5,"a,c,j","a,c,j"
5,t1,,6,"a,c,j,t1","a,c,j"
6,t0,,8,"a,c,j,t0,t1","a,c,j,t1"
8,,"t0,t1","10,44","a,c,j,t0,t1","a,c,j,t0,t1"
10,i,t0,11,"a,i,j,t0,t1","a,j,t0,t1"
11,t0,t0,12,"a,i,j,t0,t1","a,i,j,t0,t1"
12,t2,a,13,"a,i,j,t2,t0,t1","a,i,j,t0,t1"
13,b,t2,14,"a,b,i,j,t0,t1","a,i,j,t2,t0,t1"
14,t3,"a,b",15,"a,i,j,t3,t0,t1","a,b,i,j,t0,t1"
15,b,t3,16,"a,i,j,t0,t1","a,i,j,t3,t0,t1"
16,t4,a,17,"a,i,t4,j,t0,t1","a,i,j,t0,t1"
17,c,t4,18,"a,c,i,j,t0,t1","a,i,t4,j,t0,t1"
18,t5,"a,c",19,"i,j,t5,t0,t1","a,c,i,j,t0,t1"
19,a,t5,20,"a,i,j,t0,t1","i,j,t5,t0,t1"
20,t6,a,21,"a,t6,i,j,t0,t1","a,i,j,t0,t1"
21,b,t6,22,"a,b,i,j,t0,t1","a,t6,i,j,t0,t1"
22,t7,"a,b",23,"a,i,t7,j,t0,t1","a,b,i,j,t0,t1"
23,c,t7,24,"a,c,i,j,t0,t1","a,i,t7,j,t0,t1"
24,,i,"26,30","a,c,i,j,t0,t1","a,c,i,j,t0,t1"
26,t8,a,27,"a,t8,i,j,t0,t1","a,i,j,t0,t1"
27,c,t8,33,"a,c,i,j,t0,t1","a,t8,i,j,t0,t1"
30,t9,"a,c",31,"a,t9,i,j,t0,t1","a,c,i,j,t0,t1"
